id,category,category_name,title,tier,journey,gate,moat,weight,statement,neutralizes,acceptance
REQ-A1,A,Foundational Parity & Scope Integrity,Capability Parity,T0,Trial,hard,False,5,The agent SHALL be at least as capable and fluent as a frontier general model on any task that overlaps both.,"The specialist is just a worse, narrower Claude.",Blind A/B on overlapping tasks: specialist rated >= general model on usefulness.
REQ-A2,A,Foundational Parity & Scope Integrity,Graceful Scope Boundaries,T0,Trial,hard,False,5,The agent SHALL handle adjacent or out-of-scope requests gracefully — answering competently or redirecting transparently — never dead-ending in a refusal wall.,"It can't do the other ten things I also need, so I'll just keep one tab for everything.","Out-of-scope probes yield useful handling, not brittle failure."
REQ-A3,A,Foundational Parity & Scope Integrity,No Artificial Lobotomy,T0,Trial,hard,False,5,The agent SHALL add only constraints that serve the user; it SHALL NOT strip useful general capability to force a workflow.,It won't just answer my question — it makes me jump through hoops.,The user can still obtain a direct answer on demand.
REQ-B1,B,Memory & Statefulness,Persistent User Model,T0,Trial,hard,False,5,"The agent SHALL retain a persistent user model (profile, constraints, goals, history) across sessions without re-priming.",I have to re-explain everything every time.,Zero re-entry of previously supplied facts across sessions.
REQ-B2,B,Memory & Statefulness,Longitudinal Continuity,T2,Retention,none,False,4,"The agent SHALL reference and build upon prior interactions, drafts, and decisions.",A general chat loses the thread.,The agent invokes specific prior-session artifacts unprompted.
REQ-B3,B,Memory & Statefulness,Compounding Context Value,T2,Retention,none,False,4,Accumulated context SHALL make output measurably better over time — state must appreciate.,Switching away is free; nothing is lost.,Output quality/tailoring improves as a function of usage history.
REQ-C1,C,Workflow Orchestration & Guided Process,Expert Interactive Intake,T1,Selection,none,False,3,"The agent SHALL drive a structured expert intake — using interactive surfaces (forms, selectors, guided steps) rather than a bare prompt box — so the user need not know what to ask.",I don't know how to prompt for genuinely good advice.,A novice reaches expert-grade output without writing an expert prompt.
REQ-C2,C,Workflow Orchestration & Guided Process,Multi-Step Task Chaining,T1,Selection,none,False,3,The agent SHALL chain and execute multi-step processes end-to-end from a single initiation.,I'd have to run each step manually myself.,A multi-stage job completes without per-step hand-holding.
REQ-C3,C,Workflow Orchestration & Guided Process,Process State & Resumability,T1,Selection,none,False,3,The agent SHALL track where the user is in a longer journey and resume correctly.,A chat has no concept of where we are.,The agent reports current stage and the next action.
REQ-C4,C,Workflow Orchestration & Guided Process,Opinionated Default Path,T1,Selection,none,False,3,"The agent SHALL offer an opinionated default path, eliminating the blank page.",I'm staring at an empty box not knowing where to start.,"The user always has a clear, recommended next step."
REQ-D1,D,Proprietary Knowledge & Grounding,Curated Authoritative Corpus (RAG),T1,Selection,none,False,3,"The agent SHALL ground answers in a curated, authoritative corpus (RAG), not internet averages.",The general model already knows the public stuff.,Material answers derive from non-public or curated sources.
REQ-D2,D,Proprietary Knowledge & Grounding,Recency / Freshness,T1,Selection,none,False,3,"The agent SHALL maintain domain data current to a known date, refreshed on a stated cadence.",An LLM's training is stale.,The agent holds post-cutoff domain facts the base model lacks.
REQ-D3,D,Proprietary Knowledge & Grounding,Source Attribution & Verifiability,T1,Selection,none,False,3,The agent SHALL make claims traceable to authoritative sources.,I can't trust a confident guess.,Material claims carry verifiable citations.
REQ-D4,D,Proprietary Knowledge & Grounding,Anti-Hallucination Grounding,T1,Selection,none,False,3,The agent SHALL abstain or flag uncertainty outside its grounded knowledge rather than fabricate.,It'll just hallucinate in a high-stakes spot.,"Ungrounded queries return calibrated uncertainty, not invention."
REQ-E1,E,"Integration, Action & Simulation",Systems-of-Record Connectivity,T1,Selection,none,False,3,The agent SHALL connect to the user's real systems of record and read/write actual data.,The general model is a sealed box.,The agent performs a real read/write in an external system.
REQ-E2,E,"Integration, Action & Simulation",Action Over Advice,T1,Selection,none,False,3,"The agent SHALL complete tasks, not merely describe them.",ChatGPT gives me a wall of text I still have to action.,"A real-world side effect is produced, not just text."
REQ-E3,E,"Integration, Action & Simulation",Closed-Loop Tool Feedback,T1,Selection,none,False,3,The agent SHALL ingest the results of its own actions and adapt.,Its advice is static and one-shot.,The agent adjusts based on outcome data it retrieved.
REQ-E4,E,"Integration, Action & Simulation",Scenario & Counterfactual Simulation,T1,Selection,none,True,3,"The agent SHALL run methodology-bounded, quantified what-if and counterfactual simulations against the user's actual data, returning a forecasted impact rather than generic pros and cons.",It can only hand-wave at what-if-I-did-X-instead.,"A scenario yields a quantified, user-specific forecast traceable to the stated methodology."
REQ-F1,F,Structured Deliverables & Artifacts,Finished Domain Artifacts,T1,Selection,none,False,3,"The agent SHALL produce finished, domain-standard deliverables (plans, reports, scorecards, dashboards).",I get prose I still have to turn into the actual thing.,Output is a usable artifact in the field's expected format.
REQ-F2,F,Structured Deliverables & Artifacts,Format Consistency,T1,Selection,none,False,3,"Deliverables SHALL follow a reliable, consistent, professional template every time.",A general LLM's formatting is inconsistent.,Outputs are reproducibly structured.
REQ-F3,F,Structured Deliverables & Artifacts,Export & Portability,T1,Selection,none,False,3,"Artifacts SHALL be exportable in usable, portable formats.",The output is trapped in a chat window.,Export to PDF/CSV/etc. functions on demand.
REQ-G1,G,Personalization & Adaptive Tailoring,Situation-Specific Tailoring,T2,Retention,none,False,4,"The agent SHALL constrain all output to the user's real situation (budget, constraints, context, history).",It gives generic advice that ignores my specifics.,Output automatically reflects the user's known constraints.
REQ-G2,G,Personalization & Adaptive Tailoring,Outcome-Driven Adaptation,T2,Retention,none,False,4,The agent SHALL adapt recommendations based on what has and hasn't worked for this user.,Static advice that never learns.,Recommendations shift after logged outcomes.
REQ-G3,G,Personalization & Adaptive Tailoring,Preference & Style Learning,T2,Retention,none,False,4,"The agent SHALL learn and honor the user's preferences, depth, and cadence without re-asking.",I have to re-specify how I want things every time.,Learned preferences are applied without re-prompting.
REQ-H1,H,Proactivity & Lifecycle Management,Proactive Cadence,T2,Retention,none,False,4,"The agent SHALL initiate check-ins, reminders, and nudges aligned to the user's journey.",It only responds when I remember to ask.,The agent reaches out at the right moments unprompted.
REQ-H2,H,Proactivity & Lifecycle Management,Anticipation,T2,Retention,none,False,4,The agent SHALL surface relevant issues and opportunities before the user asks.,It's purely reactive.,The agent flags pertinent items proactively.
REQ-H3,H,Proactivity & Lifecycle Management,Deadline & Milestone Awareness,T2,Retention,none,False,4,The agent SHALL track time-bound domain milestones and deadlines.,I have to manage the whole timeline myself.,The agent enforces and reports against deadlines.
REQ-H4,H,Proactivity & Lifecycle Management,Time-to-First-Value Activation,T0,Trial,hard,False,5,"The agent SHALL engineer a tangible, personalized first win within the opening session and the first week — by design, not by chance.","I'll try it, see nothing a free model can't do, and churn in week one.",A measurable activation event lands within 7 days for a defined majority of new users.
REQ-I1,I,"Trust, Safety, Accountability & Calibration",Calibrated Confidence,TG,Trust gate,conditional,False,5,"The agent SHALL communicate calibrated confidence and flag risk, avoiding confident wrongness.","An LLM is confidently wrong, and I can't tell when.",Uncertainty is signaled and proportionate to the stakes.
REQ-I2,I,"Trust, Safety, Accountability & Calibration",Guardrails & Domain Constraints,TG,Trust gate,conditional,False,5,"The agent SHALL enforce domain guardrails and a defensible point of view, refusing unsafe or non-compliant guidance.",Free advice could be dangerous or flat wrong.,Known-bad inputs are caught and constrained.
REQ-I3,I,"Trust, Safety, Accountability & Calibration",Human Escalation,TG,Trust gate,conditional,False,5,The agent SHALL recognize its limits and escalate to a human or expert when warranted.,Who do I turn to when the AI is out of its depth?,Escalation triggers fire at appropriate thresholds.
REQ-I4,I,"Trust, Safety, Accountability & Calibration",Auditability & Explainability,TG,Trust gate,conditional,False,5,"The agent SHALL be auditable and explainable, producing a reasoning/source trail.",It's a black box I can't defend to a regulator or board.,A decision trail exists for material outputs.
REQ-I5,I,"Trust, Safety, Accountability & Calibration",Accountable Point of View,TG,Trust gate,conditional,False,5,A named entity or methodology SHALL stand accountably behind the output.,Nobody is accountable for an LLM's guess.,"Outputs carry a consistent, attributable point of view."
REQ-J1,J,Outcome Orientation & Measurement,Goal Definition,T2,Retention,none,False,4,The agent SHALL establish the user's measurable objective at the outset.,It's an aimless conversation.,A tracked goal exists for each user.
REQ-J2,J,Outcome Orientation & Measurement,Progress Tracking,T2,Retention,none,False,4,The agent SHALL measure and report progress toward that objective over time.,I have no sense of whether I'm getting anywhere.,A visible progress metric is maintained.
REQ-J3,J,Outcome Orientation & Measurement,Outcome Ownership,T2,Retention,none,False,4,"The agent SHALL frame itself as accountable to the outcome, not merely the response.","It answers, but it doesn't own anything.","Success is defined by user outcome, not response quality alone."
REQ-J4,J,Outcome Orientation & Measurement,Value Attribution / ROI Surfacing,T2,Retention,none,False,4,"The agent SHALL quantify and surface its own contribution — hours saved, errors caught, decisions accelerated, dollar impact — on a recurring cadence, reframing the subscription from expense to ROI.",Why pay $100 when ChatGPT is $20?,"A periodic, user-specific value report ties measurable impact to the agent's own actions."
REQ-K1,K,"Data Governance, Privacy & Ownership",Data Handling Exceeding Base Provider,TG,Trust gate,conditional,False,5,The agent SHALL offer data-handling guarantees that demonstrably exceed the base provider's defaults — otherwise this is not claimed as a differentiator.,My data is just as safe typing into ChatGPT directly.,Documented handling is stricter or clearer than the base API default.
REQ-K2,K,"Data Governance, Privacy & Ownership",User Data Ownership & Portability,TG,Trust gate,conditional,False,5,The user SHALL own their data and be able to export or delete it on demand.,I'm afraid of getting locked in.,Export and deletion function on request.
REQ-K3,K,"Data Governance, Privacy & Ownership",Domain Compliance Posture,TG,Trust gate,conditional,False,5,"The agent SHALL meet the regulatory bar of its domain (e.g., HIPAA, FERPA, financial, legal) where applicable.",Can I even legally use a general LLM for this?,Relevant compliance attestations exist and hold.
REQ-L1,L,"Reliability, Consistency & Methodological Integrity",Reproducibility / Quality Floor,T2,Retention,none,False,4,The agent SHALL deliver consistent-quality output for equivalent inputs — a guaranteed quality floor.,"Sometimes the general model is great, sometimes useless.",Repeated runs stay within an acceptable tolerance band.
REQ-L2,L,"Reliability, Consistency & Methodological Integrity",Methodological Consistency,T2,Retention,none,False,4,"The agent SHALL apply its named house methodology consistently, not ad hoc.","I get generic, eclectic answers with no through-line.",Outputs trace to the stated framework/methodology.
REQ-L3,L,"Reliability, Consistency & Methodological Integrity",Versioned Methodology,T2,Retention,none,False,4,"The methodology SHALL be versioned and deliberately improved, not silently drifting.","What changed, and why is it different today?",The active methodology version is identifiable.
REQ-M1,M,Compounding Moat & Retention (Durability),Data Flywheel,T2,Durability,none,True,4,The agent SHALL operate a data flywheel: anonymized outcome data makes it objectively better than any general model for its specific goal.,The lab will just catch up and match this.,"Measurable, niche-specific improvement attributable to usage data."
REQ-M2,M,Compounding Moat & Retention (Durability),Legitimate Switching Cost,T2,Durability,none,True,4,"The agent SHALL accumulate state, artifacts, and history such that it becomes the user's system of record.",Switching is free.,Leaving means forfeiting real accumulated value.
REQ-M3,M,Compounding Moat & Retention (Durability),Absorption Resistance,T2,Durability,none,True,4,"The agent's core value SHALL rest on proprietary data, real integration, or accountability — not on promptable behavior the platform can ship natively.",Won't ChatGPT just add a feature for this?,Core value passes the Absorption Test.
REQ-M4,M,Compounding Moat & Retention (Durability),Cohort & Network Effects,T2,Durability,none,True,4,"Where the domain allows, the agent SHALL connect users into a gated cohort on the same methodology — privacy-preserved shared benchmarks, peer progress, and outcomes — so belonging compounds with use.",A general LLM is a solitary tool; leaving costs me nothing social.,An active cohort exists and supplies benchmarks a solo user cannot self-generate.
